Category,Root,Word Form 1,Word Form 2,Word Form 3,Word Form 4
Noun_m,लड़िका,लड़िका,लड़िकन,लड़िका,लड़िकन
Noun_m,राजा,राजा,राजा,राजा,राजन
Noun_m,घर,घर,घर,घर,घरन
Noun_m,खर्च,खर्च,खर्च,खर्च,खर्चन
Noun_m,कवि,कवि,कवि,कवि,कविन
Noun_m,आदमी,आदमी,आदमी,आदमी,आदमिन
Noun_m,सत्रु,सत्रु,सत्रु,सत्रु,सत्रुन
Noun_m,आलू,आलू,आलू,आलू,आलुन
Noun_m,कुवाँ,कुवाँ/कुआँ/कुवां/कुआं,कुवाँ/कुआँ/कुवां/कुआं,कुवाँ/कुआँ/कुवां/कुआं,कुवँन/कुवंन/कुअँन/कुअंन
Noun_m,गेहूँ,गेहूँ/गेहूं,गेहूँ/गेहूं,गेहूँ/गेहूं,गेहुँन/गेहुंन
Noun_m,क्रोध,क्रोध,क्रोध,क्रोध,क्रोध
Noun_m,लकठो,लकठो,लकठन/लकठोन,लकठो,लकठन/लकठोन
Noun_m,सरसों,सरसों/सरसोँ,सरसोंन/सरसोँन/सरसंन/सरसँन,सरसों/सरसोँ,सरसोंन/सरसोँन/सरसंन/सरसँन
Noun_m,गोसाईं,गोसाईं/गोसाईँ,गोसाईं/गोसाईँ,गोसाईं/गोसाईँ,गोसाईंअन/गोसाईँअन
Noun_m,सोनरा,सोनरा,सोनरा,सोनरा,सोनरन
Noun_m_e,लड़िका,लड़िके/लड़िकइ/लड़िकै,लड़िकने/लड़िकनइ/लड़िकनै,लड़िके/लड़िकइ/लड़िकै,लड़िकने/लड़िकनइ/लड़िकनै
Noun_m_e,राजा,राजे/राजइ/राजै,राजे/राजइ/राजै,राजे/राजइ/राजै,राजनइ/राजने/राजनै
Noun_m_e,घर,घरे/घरइ/घरै,घरे/घरइ/घरै,घरे/घरइ/घरै,घरनइ/घरने/घरनै
Noun_m_e,खर्च,खर्चे/खर्चइ/खर्चै,खर्चे/खर्चइ/खर्चै,खर्चे/खर्चइ/खर्चै,खर्चनइ/खर्चने/खर्चनै
Noun_m_e,कवि,कविए/कविअइ/कविऐ,कविए/कविअइ/कविऐ,कविए/कविअइ/कविऐ,कविने/कविनइ/कविनै
Noun_m_e,आदमी,आदमिए/आदमिअइ/आदमिऐ,आदमिए/आदमिअइ/आदमिऐ,आदमिए/आदमिअइ/आदमिऐ,आदमिनइ/आदमिने/आदमिनै
